Title,Address,Description
"Calgary Tower - Lobby Camera Offline","101 9 Ave SW, Calgary, AB","The main lobby camera has been offline since yesterday afternoon and security cannot see who is entering after hours. Please have someone check the camera connection and recorder urgently."
"Calgary TELUS Convention Centre - Intercom Audio Failure","120 9 Ave SE, Calgary, AB","The front entrance intercom is powering on, but visitors cannot hear us and we cannot hear them clearly. This is causing delays for deliveries and guests."
"Burns Building - Door Strike Not Unlocking","237 8 Ave SE, Calgary, AB","The door release button works intermittently and the front door strike is not unlocking consistently. Tenants are getting stuck outside and need manual access."
"CORE Shopping Centre - Multiple Cameras Showing Black Screen","324 8 Ave SW, Calgary, AB T2P 2Z2","Three of the parkade cameras are showing black screens on the monitor and playback is unavailable. We need this fixed as soon as possible because coverage is incomplete."
"Calgary City Hall - Access Control Fob Reader Not Responding","800 Macleod Trail SE, Calgary, AB","The staff entrance fob reader stopped responding this morning and employees cannot badge in properly. The door remains locked until someone opens it manually."
"Chinese Cultural Centre - Buzzer Opens Wrong Door","197 1 St SW, Calgary, AB","When visitors use the front buzzer, it is triggering the wrong door instead of the main entrance. This is creating a serious access and security problem."
"Devonian Gardens - Camera Recording Gaps","400, 317 7 Ave SW, Calgary, AB","We noticed several gaps in recorded footage from the weekend on the interior cameras. Live view works, but the playback timeline is missing important time periods."
"Dragon City Mall - NVR Beeping Constantly","100 3 Ave SE, Calgary, AB","The recorder has been beeping nonstop and several camera channels are showing warning messages. Staff muted it temporarily, but we need the underlying issue resolved."
"Fairmont Palliser - Video Intercom Screen Frozen","133 9 Ave SW, Calgary, AB","The video intercom display at the service entrance is frozen and does not show live video from the entrance panel. Calls are coming through inconsistently as well."
"Glenbow Museum - Exterior Door Closer and Access Panel Issue","130 9 Ave SE, Calgary, AB","The rear access door is not closing properly, and the access panel beside it is flashing red. We are concerned the door may be left unsecured overnight."
"Central Library - Motion Detection Alerts Not Working","800 3 St SE, Calgary, AB T2G 2E7","We stopped receiving motion-triggered camera alerts in the restricted area even though people are clearly moving through the space. The cameras appear online but notifications are not being sent."
"Bowness Park - Gate Camera Blurry at Night","8900 48 Ave NW, Calgary, AB","The gate camera image becomes too blurry after dark and license plates are unreadable. It may need focus, cleaning, or infrared adjustment."
"Grey Eagle Resort & Casino - Card Access Door Staying Unlocked","3777 Grey Eagle Dr, Calgary, AB T3E 3X8","One of the staff corridor doors is remaining unlocked longer than programmed after card access is used. Security wants this corrected before the next shift change."
"Calgary Soccer Centre - Front Entry Intercom Not Ringing","7000 48 St SE, Calgary, AB T2C 4E1","Visitors are pressing the front entrance intercom, but the office station inside is not ringing. This has already caused missed deliveries and frustrated guests."
"Genesis Centre - Camera Feed Lag and Playback Freezing","7555 Falconridge Blvd NE, Calgary, AB T3J 0C9","Live camera feeds are lagging by several seconds and recorded playback keeps freezing when staff try to review incidents. We need someone to inspect the system performance and network connection."
